1,Afghanistan,93,8
2,Albania,355,8
3,Algeria,213,9
4,American Samoa,1-684,7
5,Andorra,376,6
6,Angola,244,9
7,Anguilla,1-264,7
8,Antigua and Barbuda,1-268,7
9,Argentina,54,10
10,Armenia,374,8
11,Aruba,297,7
12,Australia,61,9
13,Austria,43,10
14,Azerbaijan,994,9
15,Bahamas,1-242,7
16,Bahrain,973,8
17,Bangladesh,880,10
18,Barbados,1-246,7
19,Belarus,375,9
20,Belgium,32,9
21,Belize,501,7
22,Benin,229,8
23,Bermuda,1-441,7
24,Bhutan,975,8
25,Bolivia,591,8
26,Bosnia and Herzegovina,387,8
27,Botswana,267,8
28,Brazil,55,11
29,British Indian Ocean Territory,246,7
30,British Virgin Islands,1-284,7
31,Brunei,673,7
32,Bulgaria,359,9
33,Burkina Faso,226,8
34,Burundi,257,8
35,Cambodia,855,8
36,Cameroon,237,9
37,Canada,1,10
38,Cape Verde,238,7
39,Cayman Islands,1-345,7
40,Central African Republic,236,8
41,Chad,235,8
42,Chile,56,9
43,China,86,11
44,Christmas Island,61,7
45,Cocos Islands,61,7
46,Colombia,57,10
47,Comoros,269,7
48,Cook Islands,682,5
49,Costa Rica,506,8
50,Croatia,385,9
51,Cuba,53,8
52,Curacao,599,7
53,Cyprus,357,8
54,Czech Republic,420,9
55,Democratic Republic of the Congo,243,9
56,Denmark,45,8
57,Djibouti,253,8
58,Dominica,1-767,7
59,Dominican Republic,1-809,10
60,East Timor,670,7
61,Ecuador,593,9
62,Egypt,20,9
63,El Salvador,503,8
64,Equatorial Guinea,240,7
65,Eritrea,291,7
66,Estonia,372,8
67,Ethiopia,251,9
68,Falkland Islands,500,5
69,Faroe Islands,298,6
70,Fiji,679,7
71,Finland,358,9
72,France,33,9
73,French Polynesia,689,6
74,Gabon,241,8
75,Gambia,220,7
76,Georgia,995,9
77,Germany,49,11
78,Ghana,233,9
79,Gibraltar,350,6
80,Greece,30,10
81,Greenland,299,6
82,Grenada,1-473,7
83,Guam,1-671,7
84,Guatemala,502,8
